                    Ramp 3A2 analysis for 100/03/22
                                                  File      Database
Occupancy        _1___2___3___4___5___6   Station 02.06.12  02.06.12
Thresholds # 2:  15  16  17  18  23  40     Meter 04.04.0f  04.04.0f
+----------+------+---------+------------------------------------------+
|          |  Red |  Rates  |           Occupancy Stations             |
|   Time   | Time | F  C  M | 429 430 431 432 433 434                  |
+----------+------+---------+------------------------------------------+
| 14:30:30 |      | 7  1  F |   3  10  10   7   6   8                  |
| 14:31:00 |      | 7  1  F |   5   8   8   8   8   7                  |
| 14:31:30 |      | 7  1  F |   6   8  10   9   9   9                  |
| 14:32:00 |      | 7  1  F |   6  10   9   9  12  10                  |
| 14:32:30 |      | 7  1  F |   8   8   8   8  11  12                  |
| 14:33:00 |      | 7  1  F |   8  12  12   7   7  11                  |
| 14:33:30 |      | 7  1  F |   5  16   9   8   7   7                  |
| 14:34:00 |      | 7  1  F |   5  14  12   9  11   9                  |
| 14:34:30 |      | 7  3  F |   5  11  18   8  11  12                  |
| 14:35:00 |      | 7  1  F |   3  10  16  13  10  10                  |
| 14:35:30 |      | 7  3  F |   2  10  11  18  11  10                  |
| 14:36:00 |      | 7  1  F |   5   9  10  14  14  13                  |
| 14:36:30 |      | 7  1  F |   8   9  11   8  13  14                  |
| 14:37:00 |      | 7  1  F |   5  14  11   8  10  12                  |
| 14:37:30 |      | 7  1  F |   3  16  10  10  11  11                  |
| 14:38:00 |      | 7  1  F |   6  10  13  13  12  11                  |
| 14:38:30 |      | 7  2  F |   6   9  17  12  13  13                  |
| 14:39:00 |      | 7  1  F |   2  11  14  12  13  13                  |
| 14:39:30 |      | 7  1  F |   4  11  12  15  12  11                  |
| 14:40:00 |      | 7  1  F |   6  10  14  13  14  13                  |
| 14:40:30 |      | 7  1  F |   5  12  14  10  12  14                  |
| 14:41:00 |      | 7  1  F |   5  13  13  11   8   9                  |
| 14:41:30 |      | 7  1  F |   5   9  13  13  10   9                  |
| 14:42:00 |      | 7  1  F |   4  10  14  11  12  14                  |
| 14:42:30 |      | 7  1  F |   4  11  11  12  12  13                  |
| 14:43:00 |      | 7  1  F |   3   9  12  12  13  12                  |
| 14:43:30 |      | 7  1  F |   4   9  11  11  13  15                  |
| 14:44:00 |      | 7  1  F |   3   7   8  11  14  12                  |
| 14:44:30 |      | 7  1  F |   4   9   9   8  13  13                  |
| 14:45:00 |      | 7  1  F |   8   9   9   9   9  12                  |
| 14:45:30 |      | 7  1  F |   6  13  10   8  10   9                  |
| 14:46:00 |      | 7  1  F |   4  14   9   6  10  11                  |
| 14:46:30 |      | 7  1  F |   5   9  13   7   7   9                  |
| 14:47:00 |      | 7  1  F |   4   7  16  12   9   7                  |
| 14:47:30 |      | 7  1  F |   3   9  12  13  15  12                  |
| 14:48:00 |      | 7  1  F |   4  10   6  12  13  16                  |
| 14:48:30 |      | 7  1  F |   6   9  11   9  11  13                  |
| 14:49:00 |      | 7  1  F |   9  10  13   7   9  11                  |
| 14:49:30 |      | 7  1  F |   7  11  11  10   7   7                  |
| 14:50:00 |      | 7  1  F |   5  16  11  10  11   9                  |
| 14:50:30 |      | 7  1  F |   4  14  11  11  11  12                  |
| 14:51:00 |      | 7  3  F |   4   8  18  12  11  11                  |
| 14:51:30 |      | 7  1  F |   3  10  13  12  15  12                  |
| 14:52:00 |      | 7  1  F |   5   9   7  15  15  13                  |
| 14:52:30 |      | 7  1  F |   6   7  11  10  15  15                  |
| 14:53:00 |      | 7  1  F |   4  11   9   8  12  15                  |
| 14:53:30 |      | 7  1  F |   3  11   8  10   9  11                  |
| 14:54:00 |      | 7  1  F |   4   9  11   8  10  11                  |
| 14:54:30 |      | 7  1  F |   6  10  10  10   9   9                  |
| 14:55:00 |      | 7  1  F |   4  10   9  11  10   8                  |
| 14:55:30 |      | 7  1  F |   1   9  10   8  11  12                  |
| 14:56:00 |      | 7  1  F |   1   8  11   8   9  11                  |
| 14:56:30 |      | 7  1  F |   6   9  11  10   9   7                  |
| 14:57:00 |      | 7  1  F |   9  10   8  10  11  10                  |
| 14:57:30 |      | 7  1  F |   6  14   7   8  11  11                  |
| 14:58:00 |      | 7  1  F |   4  13  12   7   7   9                  |
| 14:58:30 |      | 7  1  F |   6   8  16   7   8   6                  |
| 14:59:00 |      | 7  1  F |   6   9  12  12   8   7                  |
| 14:59:30 |      | 7  1  F |   3  10   9  13  14  11                  |
| 15:00:00 |      | 7  1  F |   3   9  10   9  14  14                  |
| 15:00:30 |      | 7  1  F |   3   9  10  10   8  12                  |
