                    Ramp 3C5 analysis for 100/03/22
                                                  File      Database
Occupancy        _1___2___3___4___5___6   Station 02.06.12  02.06.12
Thresholds # 2:  15  16  17  18  23  40     Meter 04.04.0f  04.04.0f
+----------+------+---------+------------------------------------------+
|          |  Red |  Rates  |           Occupancy Stations             |
|   Time   | Time | F  C  M | 443 770 769 768 767 766                  |
+----------+------+---------+------------------------------------------+
| 14:30:30 |      | 7  1  F |   9  13  14  12  13  11                  |
| 14:31:00 |      | 7  1  F |  11  10  15  11  12  12                  |
| 14:31:30 |      | 7  2  F |  13  12  12  14  11  11                  |
| 14:32:00 |      | 7  1  F |  10  16  14  12  13  12                  |
| 14:32:30 |      | 7  3  F |   8  14  18  13  12  11                  |
| 14:33:00 |      | 7  1  F |  11   9  15  15  15  13                  |
| 14:33:30 |      | 7  1  F |  11   9  10  12  16  15                  |
| 14:34:00 |      | 7  1  F |   7  10   9   9  11  12                  |
| 14:34:30 |      | 7  1  F |   9  10  12   9   8   8                  |
| 14:35:00 |      | 7  1  F |   8   9  11  12  11   9                  |
| 14:35:30 |      | 7  1  F |   6   9  10   9  12  11                  |
| 14:36:00 |      | 7  1  F |   7   9  11   8   9   9                  |
| 14:36:30 |      | 7  1  F |   9   6  10  10   9   8                  |
| 14:37:00 |      | 7  1  F |  10   8   9  10  10  10                  |
| 14:37:30 |      | 7  2  F |  10  11  11   9  10  10                  |
| 14:38:00 |      | 7  1  F |  11  10  13  11  10   9                  |
| 14:38:30 |      | 7  2  F |   8  12  13  11  12  11                  |
| 14:39:00 |      | 7  3  F |   9  10  16  11  13  10                  |
| 14:39:30 |      | 7  1  F |  12  10  12  14  13  11                  |
| 14:40:00 |      | 7  1  F |  11  12  12  12  14  14                  |
| 14:40:30 |      | 7  2  F |  11  11  14  12  12  10                  |
| 14:41:00 |      | 7  2  F |  11  11  13  13  14  12                  |
| 14:41:30 |      | 7  1  F |  11  13  13  12  14  15                  |
| 14:42:00 |      | 7  3  F |  12  13  14  12  14  15                  |
| 14:42:30 |      | 7  2  F |  13  12  14  12  15  15                  |
| 14:43:00 |      | 7  1  F |  11  13  12  12  15  14                  |
| 14:43:30 |      | 7  2  F |   9  13  14  11  17  15                  |
| 14:44:00 |      | 7  1  F |  11  13  16  13  15  13                  |
| 14:44:30 |      | 7  1  F |  13  14  14  15  15  14                  |
| 14:45:00 |      | 7  1  Z |  11  14  15  13  16  14                  |
| 14:45:30 | 14.7 | 4  4  C |   9  12  20  14  14  13                  |
| 14:46:00 |  9.5 | 2  2  C |   9  11  17  16  15  14                  |
| 14:46:30 | 11.6 | 3  3  C |  10  10  13  15  18  14                  |
| 14:47:00 |  9.5 | 2  2  Z |  13  10  11  13  16  14                  |
| 14:47:30 |  8.0 | 1  1  Z |  12  13  12   9  13  14                  |
| 14:48:00 |  8.0 | 1  1  Z |  12  14  16  11   9   9                  |
| 14:48:30 |  8.0 | 1  1  Z |  12  13  14  16  11  10                  |
| 14:49:00 |  8.0 | 1  1  Z |  11  14  13  14  16  15                  |
| 14:49:30 |  8.0 | 1  1  Z |  10  13  15  10  14  13                  |
| 14:50:00 | 14.7 | 4  4  Z |   8  11  14  13  10  10                  |
| 14:50:30 | 11.6 | 3  3  Z |   8  11  12  13  12  12                  |
| 14:51:00 |  8.0 | 1  1  Z |   8   8  12  12  15  11                  |
| 14:51:30 |  8.0 | 1  1  Z |  10   9   8  12  15  12                  |
| 14:52:00 |  8.0 | 1  1  Z |  12  10   9   7  12  12                  |
| 14:52:30 |  8.0 | 1  1  Z |  12  13  12   7   9   8                  |
| 14:53:00 |  9.5 | 2  2  Z |  12  15  16  11  12   8                  |
| 14:53:30 | 11.6 | 3  3  Z |  12  13  17  14  16  10                  |
| 14:54:00 |  9.5 | 2  2  Z |  11  12  15  15  16  13                  |
| 14:54:30 | 11.6 | 3  3  Z |  11  11  13  13  16  16                  |
| 14:55:00 | 11.6 | 3  3  Z |  12  14  12  11  13  13                  |
| 14:55:30 |  9.5 | 2  2  Z |  12  15  15  10  10   9                  |
| 14:56:00 |  9.5 | 2  2  C |  12  14  17  12  12  10                  |
| 14:56:30 |  8.0 | 1  1  Z |  11  14  16  14  15  13                  |
| 14:57:00 |  8.0 | 1  1  Z |  10  11  16  14  15  12                  |
| 14:57:30 |  8.0 | 1  1  Z |   8  12  13  15  15  12                  |
| 14:58:00 |  8.0 | 1  1  Z |   7  12  14  13  11  15                  |
| 14:58:30 |  8.0 | 1  1  Z |   7  11  16  12  13  12                  |
| 14:59:00 |  8.0 | 1  1  Z |   8   8  13  13  13  11                  |
| 14:59:30 |  8.0 | 1  1  Z |  10   6   9  10  10  13                  |
| 15:00:00 |  8.0 | 1  1  Z |  10  12  10   8   8  11                  |
| 15:00:30 |  8.0 | 1  1  Z |   9  11  13   9   9   7                  |
| 15:01:00 |  8.0 | 1  1  Z |  10   9  11  13  13   7                  |
| 15:01:30 |  8.0 | 1  1  Z |   9  11  12  11  10  11                  |
| 15:02:00 |  8.0 | 1  1  Z |   7  11  12   7  11  10                  |
| 15:02:30 |  8.0 | 1  1  Z |   9  12  13   9  11   9                  |
| 15:03:00 |  8.0 | 1  1  Z |  13   9  15  13  10  10                  |
| 15:03:30 |  8.0 | 1  1  Z |  14   7  12  16  12  10                  |
| 15:04:00 |  8.0 | 1  1  Z |   9  13  15  11  11  12                  |
| 15:04:30 | 14.7 | 4  4  C |  10  16  21  12   8  10                  |
| 15:05:00 |  9.5 | 2  2  Z |  13  13  16  17  14   8                  |
| 15:05:30 | 14.7 | 4  4  C |  13  11  12  13  19  12                  |
| 15:06:00 | 14.7 | 4  4  Z |  13  13  13   9  13  16                  |
| 15:06:30 | 14.7 | 4  4  Z |  13  13  15   9   9  13                  |
| 15:07:00 | 14.7 | 4  4  Z |  12  14  14  12  13   8                  |
| 15:07:30 | 14.7 | 4  4  Z |  11  15  14  15  14  11                  |
| 15:08:00 | 18.0 | 5  5  Z |  12  16  18  17  14  14                  |
| 15:08:30 | 18.0 | 6  6  Z |  14  16  17  18  16  13                  |
| 15:09:00 | 18.0 | 5  5  Z |  15  17  17  16  15  15                  |
| 15:09:30 | 18.0 | 5  5  Z |  15  16  20  13  14  15                  |
| 15:10:00 | 14.7 | 4  4  C |  15  15  20  15  15  12                  |
| 15:10:30 | 11.6 | 3  3  C |  18  18  16  17  15  15                  |
| 15:11:00 | 14.7 | 4  4  C |  17  20  18  19  15  15                  |
| 15:11:30 | 14.7 | 4  4  Z |  12  19  22  21  17  13                  |
| 15:12:00 | 14.7 | 4  4  Z |  11  19  21  20  19  15                  |
| 15:12:30 | 14.7 | 4  4  C |  13  16  20  19  18  18                  |
| 15:13:00 | 14.7 | 4  4  C |  13  14  19  20  18  17                  |
| 15:13:30 | 14.7 | 4  4  Z |  11  14  17  18  17  17                  |
| 15:14:00 | 18.0 | 6  6  Z |  13  15  16  15  15  18                  |
| 15:14:30 | 18.0 | 6  6  Z |  15  15  17  14  14  15                  |
| 15:15:00 | 18.0 | 5  5  Z |  16  14  16  15  14  13                  |
