                    Ramp 3A1 analysis for 100/03/22
                                                  File      Database
Occupancy        _1___2___3___4___5___6   Station 02.06.12  02.06.12
Thresholds # 2:  15  16  17  18  23  40     Meter 04.04.0f  04.04.0f
+----------+------+---------+------------------------------------------+
|          |  Red |  Rates  |           Occupancy Stations             |
|   Time   | Time | F  C  M | 427 428 429 430 431                      |
+----------+------+---------+------------------------------------------+
| 14:30:30 |      | 7  1  F |   8   6   3  10  10                      |
| 14:31:00 |      | 7  1  F |   6   9   5   8   8                      |
| 14:31:30 |      | 7  1  F |  11  10   6   8  10                      |
| 14:32:00 |      | 7  1  F |   9   9   6  10   9                      |
| 14:32:30 |      | 7  1  F |   5  11   8   8   8                      |
| 14:33:00 |      | 7  1  F |   8   8   8  12  12                      |
| 14:33:30 |      | 7  1  F |   8   6   5  16   9                      |
| 14:34:00 |      | 7  1  F |   4   9   5  14  12                      |
| 14:34:30 |      | 7  3  F |   3   7   5  11  18                      |
| 14:35:00 |      | 7  1  F |   8   3   3  10  16                      |
| 14:35:30 |      | 7  1  F |  10   4   2  10  11                      |
| 14:36:00 |      | 7  1  F |   5  10   5   9  10                      |
| 14:36:30 |      | 7  1  F |   3  11   8   9  11                      |
| 14:37:00 |      | 7  1  F |   7   5   5  14  11                      |
| 14:37:30 |      | 7  1  F |   7   7   3  16  10                      |
| 14:38:00 |      | 7  1  F |   3   8   6  10  13                      |
| 14:38:30 |      | 7  2  F |   5   5   6   9  17                      |
| 14:39:00 |      | 7  1  F |   6   5   2  11  14                      |
| 14:39:30 |      | 7  1  F |   4   7   4  11  12                      |
| 14:40:00 |      | 7  1  F |   7   7   6  10  14                      |
| 14:40:30 |      | 7  1  F |   6   6   5  12  14                      |
| 14:41:00 |      | 7  1  F |   3   7   5  13  13                      |
| 14:41:30 |      | 7  1  F |   5   8   5   9  13                      |
| 14:42:00 |      | 7  1  F |   4   6   4  10  14                      |
| 14:42:30 |      | 7  1  F |   4   7   4  11  11                      |
| 14:43:00 |      | 7  1  F |   4   6   3   9  12                      |
| 14:43:30 |      | 7  1  F |   7   5   4   9  11                      |
| 14:44:00 |      | 7  1  F |  10   6   3   7   8                      |
| 14:44:30 |      | 7  1  F |   7  10   4   9   9                      |
| 14:45:00 |      | 7  1  F |   4  10   8   9   9                      |
| 14:45:30 |      | 7  1  F |   4   5   6  13  10                      |
| 14:46:00 |      | 7  1  F |   5   5   4  14   9                      |
| 14:46:30 |      | 7  1  F |   4   7   5   9  13                      |
| 14:47:00 |      | 7  1  F |   4   7   4   7  16                      |
| 14:47:30 |      | 7  1  F |  10   3   3   9  12                      |
| 14:48:00 |      | 7  1  F |  11   5   4  10   6                      |
| 14:48:30 |      | 7  1  F |   6  13   6   9  11                      |
| 14:49:00 |      | 7  1  F |   5  13   9  10  13                      |
| 14:49:30 |      | 7  1  F |   3   7   7  11  11                      |
| 14:50:00 |      | 7  1  F |   3   7   5  16  11                      |
| 14:50:30 |      | 7  1  F |   3   6   4  14  11                      |
| 14:51:00 |      | 7  3  F |   6   3   4   8  18                      |
| 14:51:30 |      | 7  1  F |   9   4   3  10  13                      |
| 14:52:00 |      | 7  1  F |   5   9   5   9   7                      |
| 14:52:30 |      | 7  1  F |   2   8   6   7  11                      |
| 14:53:00 |      | 7  1  F |   3   4   4  11   9                      |
| 14:53:30 |      | 7  1  F |   7   5   3  11   8                      |
| 14:54:00 |      | 7  1  F |   7   8   4   9  11                      |
| 14:54:30 |      | 7  1  F |   2   7   6  10  10                      |
| 14:55:00 |      | 7  1  F |   1   4   4  10   9                      |
| 14:55:30 |      | 7  1  F |   8   3   1   9  10                      |
| 14:56:00 |      | 7  1  F |  11   5   1   8  11                      |
| 14:56:30 |      | 7  1  F |   6  12   6   9  11                      |
| 14:57:00 |      | 7  1  F |   5  11   9  10   8                      |
