                    Ramp 3C6 analysis for 100/03/22
                                                  File      Database
Occupancy        _1___2___3___4___5___6   Station 02.06.12  02.06.12
Thresholds # 2:  15  16  17  18  23  40     Meter 04.04.0f  04.04.0f
+----------+------+---------+------------------------------------------+
|          |  Red |  Rates  |           Occupancy Stations             |
|   Time   | Time | F  C  M | 770 769 768 767 766 765                  |
+----------+------+---------+------------------------------------------+
| 14:30:30 |      | 7  1  F |  13  14  12  13  11   0*                 |
| 14:31:00 |      | 7  1  F |  10  15  11  12  12   0*                 |
| 14:31:30 |      | 7  2  F |  12  12  14  11  11   0*                 |
| 14:32:00 |      | 7  1  F |  16  14  12  13  12   0*                 |
| 14:32:30 |      | 7  3  F |  14  18  13  12  11   0*                 |
| 14:33:00 |      | 7  1  F |   9  15  15  15  13   0*                 |
| 14:33:30 |      | 7  1  F |   9  10  12  16  15   0*                 |
| 14:34:00 |      | 7  1  F |  10   9   9  11  12   0*                 |
| 14:34:30 |      | 7  1  F |  10  12   9   8   8   0*                 |
| 14:35:00 |      | 7  1  F |   9  11  12  11   9   0*                 |
| 14:35:30 |      | 7  1  F |   9  10   9  12  11   0*                 |
| 14:36:00 |      | 7  1  F |   9  11   8   9   9   0*                 |
| 14:36:30 |      | 7  1  F |   6  10  10   9   8   0*                 |
| 14:37:00 |      | 7  1  F |   8   9  10  10  10   0*                 |
| 14:37:30 |      | 7  2  F |  11  11   9  10  10   0*                 |
| 14:38:00 |      | 7  1  F |  10  13  11  10   9   0*                 |
| 14:38:30 |      | 7  2  F |  12  13  11  12  11   0*                 |
| 14:39:00 |      | 7  3  F |  10  16  11  13  10   0*                 |
| 14:39:30 |      | 7  1  F |  10  12  14  13  11   0*                 |
| 14:40:00 |      | 7  1  F |  12  12  12  14  14   0*                 |
| 14:40:30 |      | 7  2  F |  11  14  12  12  10   0*                 |
| 14:41:00 |      | 7  2  F |  11  13  13  14  12   0*                 |
| 14:41:30 |      | 7  1  F |  13  13  12  14  15   0*                 |
| 14:42:00 |      | 7  3  F |  13  14  12  14  15   0*                 |
| 14:42:30 |      | 7  2  F |  12  14  12  15  15   0*                 |
| 14:43:00 |      | 7  1  F |  13  12  12  15  14   0*                 |
| 14:43:30 |      | 7  2  F |  13  14  11  17  15   0*                 |
| 14:44:00 |      | 7  1  F |  13  16  13  15  13   0*                 |
| 14:44:30 |      | 7  1  F |  14  14  15  15  14   0*                 |
| 14:45:00 |      | 7  1  Z |  14  15  13  16  14   0*                 |
| 14:45:30 |      | 7  4  C |  12  20  14  14  13   0*                 |
| 14:46:00 | 10.8 | 4  2  C |  11  17  16  15  14   0*                 |
| 14:46:30 |  6.9 | 2  3  C |  10  13  15  18  14   0*                 |
| 14:47:00 |  8.5 | 3  2  Z |  10  11  13  16  14   0*                 |
| 14:47:30 |  6.9 | 2  1  Z |  13  12   9  13  14   0*                 |
| 14:48:00 |  5.7 | 1  1  Z |  14  16  11   9   9   0*                 |
| 14:48:30 |  5.7 | 1  1  Z |  13  14  16  11  10   0*                 |
| 14:49:00 |  5.7 | 1  1  Z |  14  13  14  16  15   0*                 |
| 14:49:30 |  5.7 | 1  1  Z |  13  15  10  14  13   0*                 |
| 14:50:00 |  5.7 | 1  4  Z |  11  14  13  10  10   0*                 |
| 14:50:30 | 10.8 | 4  3  Z |  11  12  13  12  12   0*                 |
| 14:51:00 |  8.5 | 3  1  Z |   8  12  12  15  11   0*                 |
| 14:51:30 |  5.7 | 1  1  Z |   9   8  12  15  12   0*                 |
| 14:52:00 |  5.7 | 1  1  Z |  10   9   7  12  12   0*                 |
| 14:52:30 |  5.7 | 1  1  Z |  13  12   7   9   8   0*                 |
| 14:53:00 |  5.7 | 1  2  Z |  15  16  11  12   8   0*                 |
| 14:53:30 |  6.9 | 2  3  Z |  13  17  14  16  10   0*                 |
| 14:54:00 |  8.5 | 3  2  Z |  12  15  15  16  13   0*                 |
| 14:54:30 |  6.9 | 2  3  Z |  11  13  13  16  16   0*                 |
| 14:55:00 |  8.5 | 3  3  Z |  14  12  11  13  13   0*                 |
| 14:55:30 |  8.5 | 3  2  Z |  15  15  10  10   9   0*                 |
| 14:56:00 |  6.9 | 2  2  C |  14  17  12  12  10   0*                 |
| 14:56:30 |  6.9 | 2  1  Z |  14  16  14  15  13   0*                 |
| 14:57:00 |  5.7 | 1  1  Z |  11  16  14  15  12   0*                 |
| 14:57:30 |  5.7 | 1  1  Z |  12  13  15  15  12   0*                 |
| 14:58:00 |  5.7 | 1  1  Z |  12  14  13  11  15   0*                 |
| 14:58:30 |  5.7 | 1  1  Z |  11  16  12  13  12   0*                 |
