                    Ramp 3B3 analysis for 100/03/22
                                                  File      Database
Occupancy        _1___2___3___4___5___6   Station 02.06.12  02.06.12
Thresholds # 2:  15  16  17  18  23  40     Meter 04.04.0f  04.04.0f
+----------+------+---------+------------------------------------------+
|          |  Red |  Rates  |           Occupancy Stations             |
|   Time   | Time | F  C  M | 435 437 438 439 440 441                  |
+----------+------+---------+------------------------------------------+
| 14:30:30 |      | 7  1  F |  15   0* 10  10  10  13                  |
| 14:31:00 |      | 7  1  F |  11   0* 12  11   7  10                  |
| 14:31:30 |      | 7  1  F |  11   0* 11  14   8   7                  |
| 14:32:00 |      | 7  1  F |  12   0*  9  12   8   9                  |
| 14:32:30 |      | 7  2  F |  17   0*  9   9  10  10                  |
| 14:33:00 |      | 7  2  F |  17   0* 11   9  10  10                  |
| 14:33:30 |      | 7  1  F |  13   0* 13  13   6  10                  |
| 14:34:00 |      | 7  1  F |  12   0* 11  14   7   9                  |
| 14:34:30 |      | 7  3  F |  15   0*  9  12   9   8                  |
| 14:35:00 |      | 7  3  F |  14   0* 10  12  10  10                  |
| 14:35:30 |      | 7  2  F |  11   0* 11  11  11  11                  |
| 14:36:00 |      | 7  1  F |  13   0* 10  12   8  10                  |
| 14:36:30 |      | 7  4  F |  22   0*  9   9   8  10                  |
| 14:37:00 |      | 7  4  F |  22   0* 11  11   8  11                  |
| 14:37:30 |      | 7  2  F |  15   0* 14  13   7  11                  |
| 14:38:00 |      | 7  2  F |  14   0* 16  14   9   6                  |
| 14:38:30 |      | 7  4  F |  16   0* 13  16  11   9                  |
| 14:39:00 |      | 7  4  F |  19   0* 10  15  10  12                  |
| 14:39:30 |      | 7  2  F |  16   0* 10  12  10  13                  |
| 14:40:00 |      | 7  3  F |  16   0* 14  11  10  12                  |
| 14:40:30 |      | 7  4  F |  22   0* 12  15  10  11                  |
| 14:41:00 |      | 7  4  F |  19   0* 11  14  10  12                  |
| 14:41:30 |      | 7  1  F |  12   0* 16  13   9  11                  |
| 14:42:00 |      | 7  1  F |  12   0* 12  16   9  12                  |
| 14:42:30 |      | 7  4  F |  19   0*  8  14  10  11                  |
| 14:43:00 |      | 7  3  F |  18   0* 10   9  12  10                  |
| 14:43:30 |      | 7  2  F |  16   0* 12   9   9  14                  |
| 14:44:00 |      | 7  3  F |  18   0* 12  12   7  12                  |
| 14:44:30 |      | 7  1  F |  16   0* 11  12   9  10                  |
