                    Ramp 3B1 analysis for 100/03/22
                                                  File      Database
Occupancy        _1___2___3___4___5___6   Station 02.06.12  02.06.12
Thresholds # 2:  15  16  17  18  23  40     Meter 04.04.0f  04.04.0f
+----------+------+---------+------------------------------------------+
|          |  Red |  Rates  |           Occupancy Stations             |
|   Time   | Time | F  C  M | 432 433 434 435 437 438                  |
+----------+------+---------+------------------------------------------+
| 14:30:30 |      | 7  1  F |   7   6   8  15   0* 10                  |
| 14:31:00 |      | 7  1  F |   8   8   7  11   0* 12                  |
| 14:31:30 |      | 7  1  F |   9   9   9  11   0* 11                  |
| 14:32:00 |      | 7  1  F |   9  12  10  12   0*  9                  |
| 14:32:30 |      | 7  2  F |   8  11  12  17   0*  9                  |
| 14:33:00 |      | 7  2  F |   7   7  11  17   0* 11                  |
| 14:33:30 |      | 7  1  F |   8   7   7  13   0* 13                  |
| 14:34:00 |      | 7  1  F |   9  11   9  12   0* 11                  |
| 14:34:30 |      | 7  3  F |   8  11  12  15   0*  9                  |
| 14:35:00 |      | 7  3  F |  13  10  10  14   0* 10                  |
| 14:35:30 |      | 7  3  F |  18  11  10  11   0* 11                  |
| 14:36:00 |      | 7  1  F |  14  14  13  13   0* 10                  |
| 14:36:30 |      | 7  4  F |   8  13  14  22   0*  9                  |
| 14:37:00 |      | 7  4  F |   8  10  12  22   0* 11                  |
| 14:37:30 |      | 7  2  F |  10  11  11  15   0* 14                  |
| 14:38:00 |      | 7  2  F |  13  12  11  14   0* 16                  |
| 14:38:30 |      | 7  4  F |  12  13  13  16   0* 13                  |
| 14:39:00 |      | 7  4  F |  12  13  13  19   0* 10                  |
| 14:39:30 |      | 7  2  F |  15  12  11  16   0* 10                  |
| 14:40:00 |      | 7  3  F |  13  14  13  16   0* 14                  |
| 14:40:30 |      | 7  4  F |  10  12  14  22   0* 12                  |
| 14:41:00 |      | 7  4  F |  11   8   9  19   0* 11                  |
| 14:41:30 |      | 7  1  F |  13  10   9  12   0* 16                  |
| 14:42:00 |      | 7  1  F |  11  12  14  12   0* 12                  |
| 14:42:30 |      | 7  4  F |  12  12  13  19   0*  8                  |
| 14:43:00 |      | 7  3  F |  12  13  12  18   0* 10                  |
| 14:43:30 |      | 7  2  F |  11  13  15  16   0* 12                  |
| 14:44:00 |      | 7  3  F |  11  14  12  18   0* 12                  |
| 14:44:30 |      | 7  1  F |   8  13  13  16   0* 11                  |
| 14:45:00 |      | 7  4  F |   9   9  12  19   0* 13                  |
| 14:45:30 |      | 7  1  F |   8  10   9  16   0* 15                  |
| 14:46:00 |      | 7  1  F |   6  10  11  11   0* 14                  |
| 14:46:30 |      | 7  1  F |   7   7   9  12   0* 11                  |
| 14:47:00 |      | 7  2  F |  12   9   7  11   0*  9                  |
| 14:47:30 |      | 7  1  F |  13  15  12  11   0*  9                  |
| 14:48:00 |      | 7  4  F |  12  13  16  21   0*  9                  |
| 14:48:30 |      | 7  5  F |   9  11  13  25   0* 10                  |
| 14:49:00 |      | 7  2  F |   7   9  11  17   0* 16                  |
| 14:49:30 |      | 7  3  F |  10   7   7  12   0* 18                  |
| 14:50:00 |      | 7  1  F |  10  11   9  12   0* 12                  |
| 14:50:30 |      | 7  1  F |  11  11  12  15   0*  9                  |
| 14:51:00 |      | 7  5  F |  12  11  11  13   0*  9                  |
| 14:51:30 |      | 7  4  F |  12  15  12  16   0* 12                  |
| 14:52:00 |      | 7  4  F |  15  15  13  20   0* 11                  |
| 14:52:30 |      | 7  3  F |  10  15  15  18   0* 11                  |
| 14:53:00 |      | 7  3  F |   8  12  15  18   0* 13                  |
| 14:53:30 |      | 7  2  F |  10   9  11  17   0* 13                  |
| 14:54:00 |      | 7  1  F |   8  10  11  12   0* 15                  |
| 14:54:30 |      | 7  1  F |  10   9   9  13   0* 12                  |
| 14:55:00 |      | 7  1  F |  11  10   8  13   0* 10                  |
| 14:55:30 |      | 7  1  F |   8  11  12  12   0* 10                  |
| 14:56:00 |      | 7  1  F |   8   9  11  15   0*  8                  |
| 14:56:30 |      | 7  1  F |  10   9   7  15   0* 10                  |
| 14:57:00 |      | 7  1  F |  10  11  10  12   0* 10                  |
| 14:57:30 |      | 7  1  F |   8  11  11  13   0*  9                  |
| 14:58:00 |      | 7  1  F |   7   7   9  14   0*  9                  |
| 14:58:30 |      | 7  1  F |   7   8   6  10   0* 10                  |
| 14:59:00 |      | 7  1  F |  12   8   7  10   0* 11                  |
| 14:59:30 |      | 7  1  F |  13  14  11  12   0*  8                  |
| 15:00:00 |      | 7  3  F |   9  14  14  18   0*  7                  |
| 15:00:30 |      | 7  3  F |  10   8  12  18   0* 10                  |
| 15:01:00 |      | 7  1  F |  12  12  10  13   0* 14                  |
| 15:01:30 |      | 7  1  F |  10  12  11  15   0* 12                  |
| 15:02:00 |      | 7  1  F |   8  10  11  16   0*  9                  |
| 15:02:30 |      | 7  1  F |  11   9  11  13   0* 12                  |
| 15:03:00 |      | 7  1  F |  13  11  11  12   0* 12                  |
| 15:03:30 |      | 7  3  F |  12  13  12  14   0*  9                  |
| 15:04:00 |      | 7  4  F |  15  14  13  19   0*  9                  |
| 15:04:30 |      | 7  4  F |  16  18  15  19   0* 11                  |
| 15:05:00 |      | 7  5  Z |  12  17  18  21   0* 15                  |
| 15:05:30 | 18.0 | 5  5  C |  13  13  16  24   0* 15                  |
| 15:06:00 | 16.5 | 4  4  C |  15  16  13  19   0* 15                  |
| 15:06:30 | 16.5 | 4  4  C |  15  15  15  20   0* 17                  |
| 15:07:00 | 16.5 | 4  4  C |  12  15  15  23   0* 16                  |
| 15:07:30 | 16.5 | 4  4  C |  10  14  16  20   0* 14                  |
| 15:08:00 | 13.2 | 3  3  C |  12  11  13  18   0* 15                  |
| 15:08:30 |  9.1 | 1  1  Z |  13  11  10  16   0* 16                  |
| 15:09:00 |  9.1 | 1  1  Z |  11  14  11  14   0* 14                  |
| 15:09:30 | 10.8 | 2  2  Z |   8  12  13  16   0* 10                  |
| 15:10:00 | 16.5 | 4  4  Z |  10   9  13  17   0* 10                  |
| 15:10:30 | 18.0 | 5  5  Z |  12  12   9  17   0* 13                  |
| 15:11:00 | 18.0 | 5  5  Z |  16  15  11  15   0* 13                  |
| 15:11:30 | 16.5 | 4  4  Z |  17  19  17  17   0* 14                  |
| 15:12:00 | 16.5 | 4  4  Z |  15  20  20  21   0* 13                  |
| 15:12:30 | 18.0 | 5  5  C |  14  17  19  24   0* 13                  |
| 15:13:00 | 18.0 | 5  5  C |  14  16  14  25   0* 18                  |
| 15:13:30 | 16.5 | 4  4  Z |  12  14  15  19   0* 19                  |
| 15:14:00 | 18.0 | 6  6  Z |  12  14  16  18   0* 17                  |
| 15:14:30 | 18.0 | 6  6  Z |  18  14  12  20   0* 16                  |
| 15:15:00 | 18.0 | 5  5  Z |  21  15  15  16   0* 15                  |
| 15:15:30 | 16.5 | 4  4  C |  15  19  18  20   0* 14                  |
| 15:16:00 | 18.0 | 5  5  C |  10  16  19  24   0* 14                  |
| 15:16:30 | 16.5 | 4  4  C |   9  12  16  22   0* 16                  |
| 15:17:00 | 16.5 | 4  4  Z |  11  11  11  17   0* 18                  |
| 15:17:30 | 13.2 | 3  3  Z |  14  12  10  14   0* 16                  |
| 15:18:00 | 10.8 | 2  2  Z |  14  14  11  16   0* 12                  |
| 15:18:30 | 13.2 | 3  3  Z |  11  16  15  18   0* 10                  |
| 15:19:00 | 18.0 | 5  5  Z |  10  14  18  22   0* 11                  |
| 15:19:30 | 18.0 | 6  6  Z |  12  10  13  24   0* 12                  |
| 15:20:00 | 18.0 | 6  6  Z |  12  12   9  19   0* 12                  |
| 15:20:30 | 16.5 | 4  4  Z |  15  14  13  16   0* 16                  |
| 15:21:00 | 16.5 | 4  4  Z |  16  14  15  15   0* 15                  |
| 15:21:30 | 18.0 | 6  6  Z |  15  13  15  20   0* 13                  |
| 15:22:00 | 18.0 | 5  5  C |  14  15  14  24   0* 11                  |
| 15:22:30 | 16.5 | 4  4  Z |  13  15  14  19   0* 11                  |
| 15:23:00 | 13.2 | 3  3  C |  13  13  14  18   0* 13                  |
| 15:23:30 | 16.5 | 4  4  C |  13  14  14  19   0* 14                  |
| 15:24:00 | 13.2 | 3  3  Z |  12  13  16  18   0* 15                  |
| 15:24:30 | 18.0 | 5  5  Z |  12  13  13  20   0* 15                  |
| 15:25:00 | 10.8 | 2  2  Z |  13  13  12  16   0* 14                  |
| 15:25:30 | 10.8 | 2  2  Z |  13  13  13  15   0* 14                  |
| 15:26:00 | 16.5 | 4  4  C |  14  14  13  19   0* 13                  |
| 15:26:30 | 16.5 | 4  4  C |  14  14  16  19   0* 11                  |
| 15:27:00 | 16.5 | 4  4  Z |  15  14  16  22   0* 12                  |
| 15:27:30 | 18.0 | 5  5  Z |  15  16  13  20   0* 15                  |
| 15:28:00 | 16.5 | 4  4  Z |  14  15  16  21   0* 17                  |
| 15:28:30 | 16.5 | 4  4  C |  17  14  15  20   0* 17                  |
| 15:29:00 | 16.5 | 4  4  C |  16  15  14  17   0* 19                  |
| 15:29:30 | 16.5 | 4  4  C |  10  16  17  23   0* 16                  |
| 15:30:00 | 18.0 | 5  5  C |  11  11  14  24   0* 11                  |
| 15:30:30 | 13.2 | 3  3  Z |  11  10  11  16   0* 13                  |
| 15:31:00 | 10.8 | 2  2  Z |  13  13  13  15   0* 17                  |
| 15:31:30 | 10.8 | 2  2  Z |  14  13  15  16   0* 13                  |
| 15:32:00 | 16.5 | 4  4  Z |  11  12  13  18   0* 10                  |
| 15:32:30 | 18.0 | 5  5  Z |  14  13  11  19   0* 13                  |
| 15:33:00 | 18.0 | 5  5  Z |  15  16  14  17   0* 16                  |
| 15:33:30 | 16.5 | 4  4  Z |  14  15  17  21   0* 14                  |
| 15:34:00 | 16.5 | 4  4  C |  13  15  15  19   0* 13                  |
| 15:34:30 | 18.0 | 5  5  Z |  11  16  16  19   0* 16                  |
| 15:35:00 | 18.0 | 5  5  C |  10  13  17  24   0* 13                  |
| 15:35:30 | 16.5 | 4  4  C |  12  10  13  20   0* 11                  |
| 15:36:00 | 10.8 | 2  2  Z |  12  12  12  15   0* 12                  |
| 15:36:30 | 13.2 | 3  3  Z |  14  12  11  16   0* 14                  |
| 15:37:00 | 16.5 | 4  4  Z |  14  12  12  16   0* 14                  |
| 15:37:30 | 18.0 | 5  5  Z |  14  14  14  19   0* 11                  |
| 15:38:00 | 16.5 | 4  4  Z |  17  15  14  20   0* 11                  |
| 15:38:30 | 16.5 | 4  4  Z |  17  15  16  18   0* 13                  |
| 15:39:00 | 16.5 | 4  4  Z |  15  16  15  21   0* 14                  |
| 15:39:30 | 16.5 | 4  4  C |  14  16  14  23   0* 13                  |
| 15:40:00 | 16.5 | 4  4  C |  13  14  15  21   0* 13                  |
| 15:40:30 | 18.0 | 5  5  Z |  13  12  15  18   0* 16                  |
