                    Ramp 3C2 analysis for 100/03/22
                                                  File      Database
Occupancy        _1___2___3___4___5___6   Station 02.06.12  02.06.12
Thresholds # 2:  15  16  17  18  23  40     Meter 04.04.0f  04.04.0f
+----------+------+---------+------------------------------------------+
|          |  Red |  Rates  |           Occupancy Stations             |
|   Time   | Time | F  C  M | 441 442 443 770 769 768 767              |
+----------+------+---------+------------------------------------------+
| 14:30:30 |      | 7  1  F |  13  12   9  13  14  12  13              |
| 14:31:00 |      | 7  2  F |  10  17  11  10  15  11  12              |
| 14:31:30 |      | 7  2  F |   7  14  13  12  12  14  11              |
| 14:32:00 |      | 7  1  F |   9  11  10  16  14  12  13              |
| 14:32:30 |      | 7  3  F |  10  14   8  14  18  13  12              |
| 14:33:00 |      | 7  1  F |  10  14  11   9  15  15  15              |
| 14:33:30 |      | 7  1  F |  10  12  11   9  10  12  16              |
| 14:34:00 |      | 7  1  F |   9  11   7  10   9   9  11              |
| 14:34:30 |      | 7  1  F |   8  11   9  10  12   9   8              |
| 14:35:00 |      | 7  1  F |  10  14   8   9  11  12  11              |
| 14:35:30 |      | 7  1  F |  11  12   6   9  10   9  12              |
| 14:36:00 |      | 7  1  F |  10  11   7   9  11   8   9              |
| 14:36:30 |      | 7  1  F |  10  12   9   6  10  10   9              |
| 14:37:00 |      | 7  1  F |  11  14  10   8   9  10  10              |
| 14:37:30 |      | 7  2  F |  11  17  10  11  11   9  10              |
| 14:38:00 |      | 7  1  F |   6  15  11  10  13  11  10              |
| 14:38:30 |      | 7  2  F |   9  12   8  12  13  11  12              |
| 14:39:00 |      | 7  3  F |  12  16   9  10  16  11  13              |
| 14:39:30 |      | 7  1  F |  13  14  12  10  12  14  13              |
| 14:40:00 |      | 7  1  F |  12  15  11  12  12  12  14              |
| 14:40:30 |      | 7  2  F |  11  16  11  11  14  12  12              |
| 14:41:00 |      | 7  2  F |  12  14  11  11  13  13  14              |
| 14:41:30 |      | 7  1  F |  11  15  11  13  13  12  14              |
| 14:42:00 |      | 7  3  F |  12  17  12  13  14  12  14              |
| 14:42:30 |      | 7  3  F |  11  18  13  12  14  12  15              |
| 14:43:00 |      | 7  1  F |  10  14  11  13  12  12  15              |
| 14:43:30 |      | 7  2  F |  14  14   9  13  14  11  17              |
| 14:44:00 |      | 7  3  F |  12  18  11  13  16  13  15              |
| 14:44:30 |      | 7  1  F |  10  15  13  14  14  15  15              |
| 14:45:00 |      | 7  1  Z |  11  14  11  14  15  13  16              |
| 14:45:30 |  3.0 | 4  4  C |  12  14   9  12  20  14  14              |
| 14:46:00 |  1.4 | 2  2  C |  10  15   9  11  17  16  15              |
| 14:46:30 |  2.1 | 3  3  C |   9  17  10  10  13  15  18              |
| 14:47:00 |  1.4 | 2  2  Z |  11  16  13  10  11  13  16              |
| 14:47:30 |  1.0 | 1  1  Z |  14  15  12  13  12   9  13              |
| 14:48:00 |  1.0 | 1  3  C |  12  18  12  14  16  11   9              |
| 14:48:30 |  1.4 | 2  2  C |  11  17  12  13  14  16  11              |
| 14:49:00 |  1.0 | 1  1  Z |  11  15  11  14  13  14  16              |
| 14:49:30 |  1.0 | 1  1  Z |   8  15  10  13  15  10  14              |
| 14:50:00 |  3.0 | 4  4  Z |   9  13   8  11  14  13  10              |
| 14:50:30 |  2.1 | 3  3  Z |  10  13   8  11  12  13  12              |
| 14:51:00 |  1.0 | 1  1  Z |  11  12   8   8  12  12  15              |
| 14:51:30 |  1.0 | 1  1  Z |  14  15  10   9   8  12  15              |
| 14:52:00 |  1.4 | 2  2  C |  14  17  12  10   9   7  12              |
| 14:52:30 |  1.0 | 1  1  Z |  12  15  12  13  12   7   9              |
| 14:53:00 |  1.4 | 2  2  Z |  12  13  12  15  16  11  12              |
| 14:53:30 |  2.1 | 3  3  Z |  12  16  12  13  17  14  16              |
| 14:54:00 |  1.4 | 2  2  Z |  11  17  11  12  15  15  16              |
| 14:54:30 |  2.1 | 3  3  Z |  12  14  11  11  13  13  16              |
| 14:55:00 |  2.1 | 3  3  Z |  13  15  12  14  12  11  13              |
| 14:55:30 |  1.4 | 2  2  Z |  12  16  12  15  15  10  10              |
| 14:56:00 |  1.4 | 2  2  C |  12  14  12  14  17  12  12              |
| 14:56:30 |  1.0 | 1  1  Z |  13  15  11  14  16  14  15              |
| 14:57:00 |  1.0 | 1  1  Z |  12  15  10  11  16  14  15              |
| 14:57:30 |  1.0 | 1  1  Z |   8  14   8  12  13  15  15              |
| 14:58:00 |  1.0 | 1  1  Z |   8  12   7  12  14  13  11              |
| 14:58:30 |  1.0 | 1  1  Z |  11  10   7  11  16  12  13              |
| 14:59:00 |  1.0 | 1  1  Z |  10  14   8   8  13  13  13              |
| 14:59:30 |  1.0 | 1  1  Z |   9  15  10   6   9  10  10              |
| 15:00:00 |  1.0 | 1  1  Z |   9  13  10  12  10   8   8              |
| 15:00:30 |  1.0 | 1  1  Z |  10  12   9  11  13   9   9              |
| 15:01:00 |  1.0 | 1  1  Z |  11  13  10   9  11  13  13              |
| 15:01:30 |  1.4 | 2  2  C |   8  17   9  11  12  11  10              |
| 15:02:00 |  1.0 | 1  1  Z |   8  14   7  11  12   7  11              |
| 15:02:30 |  1.0 | 1  1  Z |  12  11   9  12  13   9  11              |
| 15:03:00 |  1.0 | 1  1  Z |  16  14  13   9  15  13  10              |
| 15:03:30 |  3.0 | 4  4  C |  13  19  14   7  12  16  12              |
| 15:04:00 |  1.0 | 1  1  Z |   9  16   9  13  15  11  11              |
