Ramp	Date	Time	RedTime	FieldRate	ComputedRate	Mode
3A1	3/22/2000	2:00:30 PM		7	1	F
3A1	3/22/2000	2:01:00 PM		7	1	F
3A1	3/22/2000	2:01:30 PM		0	0	F
3A1	3/22/2000	2:02:00 PM		0	0	F
3A1	3/22/2000	2:02:30 PM		7	0	S
3A1	3/22/2000	2:03:00 PM		7	0	F
3A1	3/22/2000	2:03:30 PM		7	0	F
3A1	3/22/2000	2:04:00 PM		7	0	F
3A1	3/22/2000	2:04:30 PM		7	0	F
3A1	3/22/2000	2:05:00 PM		7	1	F
3A1	3/22/2000	2:05:30 PM		7	1	F
3A1	3/22/2000	2:06:00 PM		7	1	F
3A1	3/22/2000	2:06:30 PM		7	1	F
3A1	3/22/2000	2:07:00 PM		7	1	F
3A1	3/22/2000	2:07:30 PM		7	1	F
3A1	3/22/2000	2:08:00 PM		7	1	F
3A1	3/22/2000	2:08:30 PM		7	1	F
3A1	3/22/2000	2:09:00 PM		7	1	F
3A1	3/22/2000	2:09:30 PM		7	1	F
3A1	3/22/2000	2:10:00 PM		7	1	F
3A1	3/22/2000	2:10:30 PM		7	1	F
3A1	3/22/2000	2:11:00 PM		7	1	F
3A1	3/22/2000	2:11:30 PM		7	1	F
3A1	3/22/2000	2:12:00 PM		7	1	F
3A1	3/22/2000	2:12:30 PM		7	1	F
3A1	3/22/2000	2:13:00 PM		7	1	F
3A1	3/22/2000	2:13:30 PM		7	1	F
3A1	3/22/2000	2:14:00 PM		7	1	F
3A1	3/22/2000	2:14:30 PM		7	1	F
3A1	3/22/2000	2:15:00 PM		7	1	F
3A1	3/22/2000	2:15:30 PM		7	1	F
3A1	3/22/2000	2:16:00 PM		7	1	F
3A1	3/22/2000	2:16:30 PM		7	1	F
3A1	3/22/2000	2:17:00 PM		7	1	F
3A1	3/22/2000	2:17:30 PM		7	1	F
3A1	3/22/2000	2:18:00 PM		7	1	F
3A1	3/22/2000	2:18:30 PM		7	1	F
3A1	3/22/2000	2:19:00 PM		7	1	F
3A1	3/22/2000	2:19:30 PM		7	1	F
3A1	3/22/2000	2:20:00 PM		7	1	F
3A1	3/22/2000	2:20:30 PM		7	1	F
3A1	3/22/2000	2:21:00 PM		7	1	F
3A1	3/22/2000	2:21:30 PM		7	1	F
3A1	3/22/2000	2:22:00 PM		7	1	F
3A1	3/22/2000	2:22:30 PM		7	1	F
3A1	3/22/2000	2:23:00 PM		7	1	F
3A1	3/22/2000	2:23:30 PM		7	1	F
3A1	3/22/2000	2:24:00 PM		7	1	F
3A1	3/22/2000	2:24:30 PM		7	1	F
3A1	3/22/2000	2:25:00 PM		7	1	F
3A1	3/22/2000	2:25:30 PM		7	1	F
3A1	3/22/2000	2:26:00 PM		7	1	F
3A1	3/22/2000	2:26:30 PM		7	1	F
3A1	3/22/2000	2:27:00 PM		7	1	F
3A1	3/22/2000	2:27:30 PM		7	1	F
3A1	3/22/2000	2:28:00 PM		7	1	F
3A1	3/22/2000	2:28:30 PM		7	1	F
3A1	3/22/2000	2:29:00 PM		7	1	F
3A1	3/22/2000	2:29:30 PM		7	1	F
3A1	3/22/2000	2:30:00 PM		7	1	F
3A1	3/22/2000	2:30:30 PM		7	1	F
3A1	3/22/2000	2:31:00 PM		7	1	F
3A1	3/22/2000	2:31:30 PM		7	1	F
3A1	3/22/2000	2:32:00 PM		7	1	F
3A1	3/22/2000	2:32:30 PM		7	1	F
3A1	3/22/2000	2:33:00 PM		7	1	F
3A1	3/22/2000	2:33:30 PM		7	1	F
3A1	3/22/2000	2:34:00 PM		7	1	F
3A1	3/22/2000	2:34:30 PM		7	3	F
3A1	3/22/2000	2:35:00 PM		7	1	F
3A1	3/22/2000	2:35:30 PM		7	1	F
3A1	3/22/2000	2:36:00 PM		7	1	F
